的	de_dí_dì
緢	miáo_máo
緣	yuán
緤	xiè_yè
緥	bǎo
緦	sī
緧	qiū
編	biān
緩	huǎn
緪	gēng_gèng
緫	zǒng_cōng
緬	miǎn
緭	wèi
緮	fù
緯	wěi
緰	tōu_xū_shū_yú
緱	gōu
緲	miǎo
緳	xié
練	liàn
緵	zōng_zòng
緶	biàn_pián
緷	gǔn_yùn
緸	yīn
緹	tí
緺	guā_wō
緻	zhì
緼	yùn_yūn_wēn
緽	chēng
緾	chán
緿	dài
縀	xié_xiá
縁	yuán
縂	zǒng
縃	xū
縄	shéng
縅	wēi
縆	gēng_gèng
縇	seon_xuān
縈	yíng
縉	jìn
縊	yì
縋	zhuì
縌	nì
縍	bāng_bàng
縎	gǔ_hú
縏	pán
縐	zhòu
縑	jiān
縒	cī_cuò_suǒ
縓	quán
縔	shuǎng
縕	yùn_yūn_wēn
縖	xiá
縗	cuī_suī_shuāi
縘	xì_xī
縙	róng_rǒng_ròng
縚	tāo
縛	fù
縜	yún
縝	zhěn
縞	gǎo
縟	rù
縠	hú
縡	zài_zēng_zǎi
縢	téng
縣	xiàn_xuán
縤	sù
縥	zhěn
縦	zòng
縧	tāo
縨	huǎng
縩	cài
縪	bì
縫	féng_fèng
縬	cù
縭	lí
縮	suō_sù
縯	yǎn_yǐn
縰	xǐ
縱	zòng_zǒng
縲	léi
縳	zhuàn_juàn
縴	qiàn
縵	màn
縶	zhí
縷	lǚ
縸	mù_mò
縹	piǎo_piāo
縺	lián
縼	xuàn
總	zǒng
績	jì_jī
縿	shān
繀	suì_cuǐ
繂	lǜ
繃	bēng_běng_bèng
繄	yī
繅	sāo
繆	móu_miù_miào_mù_liǎo
繈	qiǎng
繉	shéng_hún
繊	xiān
繋	jì_xì
繌	zōng_zòng
繍	xiù
繎	rán
繏	xuàn
繐	suì
繑	qiāo_juē
繒	zēng_zèng
繓	zuǒ
織	zhī_zhì
繕	shàn
繖	sǎn
繗	lín
繘	jú_jué_yù
繙	fān
繚	liáo
繛	chuō_chuò
繜	zūn_zǔn
繝	jiàn
繞	rào
繟	chǎn_chán
繠	ruǐ
繡	xiù
繢	huì_huí
繣	huà
繤	zuǎn
繥	xī
繦	qiǎng
繧	wén
繨	da_dá
繩	shéng
繪	huì
繫	xì_jì
繬	sè
繭	jiǎn
繮	jiāng
繯	huán
繰	qiāo_sāo
繱	cōng
繲	xiè
繳	jiǎo_zhuó
繴	bì
繵	dàn_tán_chán
繶	yì
繷	nǒng
繸	suì
繹	yì
繺	shā_shǎi
繻	rú_xū
繼	jì
繽	bīn
繾	qiǎn
繿	lán
纀	pú_fú
纁	xūn
纃	zī_qí
纄	péng
纅	yào_lì
纆	mò
纇	lèi
纈	xiè_xié
纉	zuǎn
纊	kuàng
纋	yōu
續	xù
纍	léi
纎	xiān
纏	chán
纐	jiǎo
纑	lú
纒	chán
纓	yīng
纔	cái
纕	xiāng_rǎng
纖	xiān
纗	zuī
纘	zuǎn
纙	luò
纚	lí_xǐ_lǐ_sǎ
纜	lǎn
纝	léi
纞	liàn
纮	hóng
纴	rèn
纻	zhù
纼	zhèn
绖	dié
绤	xì
绬	yīng
绹	táo
缊	yùn_yūn_wēn
缐	xiàn
缞	cuī_suī_shuāi
缷	xiè
缹	fǒu
缻	fǒu
缼	quē
缽	bō
缾	píng
缿	xiàng
罀	zhào
罁	gāng
罃	yīng
罆	guàn
罇	zūn
罈	tán
罉	chēng
罊	qì
罋	wèng
罌	yīng
罍	léi
罎	tán
罏	lú
罒	wǎng
罓	wǎng
罖	wǎng_ra
罙	shēn_mí
罛	gū
罜	zhǔ_dú
罝	jū
罞	máo
罠	mín
罣	guà
罤	tí_kūn
罥	juàn
罦	fú
罧	shēn_shèn
罫	guǎi_guà
罬	zhuó
罭	yù
罯	ǎn
罰	fá
罳	sī
罵	mà
罶	liǔ
罷	bà_ba_pí
罸	fá
罺	cháo
罻	wèi
罼	bì
罽	jì
罿	chōng_tóng
羀	liǔ
羂	juàn
羃	mì
羄	zhào
羅	luó
羆	pí
羇	jī
羈	jī
羉	luán
羋	mǐ
羍	dá
羏	yáng_xiáng
羐	líng_yǒu
羑	yǒu
羒	fén
羓	bā
羕	yàng
羖	gǔ
羗	qiāng
羘	zāng
羙	měi_gāo
羛	yì_xī
羜	zhù
羠	yí
羢	róng
羣	qún
羥	qiǎng
羦	huán
羨	xiàn_yán
義	yì
羪	yōu
羫	qiāng_kòng_kàng
羬	qián_xián_yán
羭	yú
羮	gēng
羱	yuán
羳	fán
羴	shān
羵	fén_fěn
羶	shān
羷	liǎn
羺	nóu
羻	qiàng
羾	hóng_gòng
翀	chōng
翂	fēn
翃	hóng
翄	chì
翆	cuì
翇	fú
翈	xiá
翉	běn
翋	là_lā
翍	pī_bì_pō
翏	liù
翐	zhì
翑	qú_yù
習	xí
翓	xié
翖	xī_xì
翗	ké
翙	huì
翚	huī
翛	xiāo_shù
翜	shà
翝	hóng
翞	jiāng
翢	dào_zhōu
翣	shà
翤	chì
翧	xuān
翨	chì
翪	zōng
翫	wán_wàn
翬	huī
翭	hóu
翯	hè
翲	piāo
翴	lián
翵	hóu_qú
翶	áo
翷	lín
翸	pěn
翹	qiáo_qiào
翺	áo
翽	huì
翾	xuān
翿	dào
耂	lǎo
耇	gǒu
耈	gǒu
耉	gǒu
耊	dié_diè
耎	ruǎn_nuò
耏	ér_nài
耑	duān_zhuān
耓	tīng
耚	pī
耛	sì_chí_yí
耝	qù_chú
耞	jiā
耟	jù
耡	chú
耣	lún_lǔn
耤	jí_jiè
耫	zhá_zé
耬	lóu
耭	jī
耮	lào
耯	huò
耰	yōu
耲	huái
耴	yì
耹	qín
耺	yún_yíng
耼	dān
耾	hóng
聀	zhí
聁	pàn
聄	zhěn
聅	chè
聇	zhēng
聈	yǒu
聉	wà_tuǐ_zhuó
聎	tiāo
聏	ér_nǜ
聐	yà
聑	tiē_zhé
聓	xù
聕	hào
聖	shèng
聗	liè
聙	jīng
聛	bǐ
聜	dǐ_zhì
聝	guó
聞	wén
聟	xù
聠	pīng
聡	cōng
聢	dìng
聣	ní
聤	tíng
聥	jǔ
聦	cōng
聧	kuī
聨	lián
聫	lián
聬	wēng_wěng
聭	kuì
聮	lián
聯	lián
聰	cōng
聲	shēng
聳	sǒng
聴	tīng
聵	kuì
聶	niè
職	zhí
聸	dān
聹	níng
聺	qié
聻	nǐ_jiàn
聼	tīng
聽	tīng_tìng
聾	lóng
肁	zhào
肂	sì
肅	sù
肈	zhào
肊	yì
肍	qiú
肎	kěn
肏	cào
肐	gē
肑	bó_dí
肒	huàn
肔	chǐ_yǐ
肕	rèn
肗	rǔ
肙	yuān
肞	chāi_chā
肣	qín_hán_hàn
肦	bān_fén
肧	pēi
肨	pàng_pán_pàn_fēng_pāng
肬	yóu
肰	rán
肳	wěn
肵	qí_jìn
肶	pí_bǐ_bì
肸	xī_xì
肹	xī
肻	kěn
胅	dié
胇	fèi_bì_fěi
胈	bá
胉	bó
胊	qú
胋	tián
胏	zǐ_fèi
胐	fěi_kū
胑	zhī
胒	nì
胓	píng_pēng
胔	zì
胕	fū_fú_zhǒu_fǔ
胘	xián
胟	mǔ
胠	qū
胢	qià_kē
胣	chǐ
胦	yāng
胮	pāng
胵	chī_zhì
胷	xiōng
胹	ér
胻	héng
胾	zì
胿	guī_kuì
脀	zhēng_chéng_zhèng
脁	tiǎo
脃	cuì
脄	méi
脅	xié
脇	xié
脈	mài_mò
脋	xié
脌	nín
脕	wàn_wèn
脗	wěn
脙	xiū
脛	jìng
脜	róu_yǒu
脝	hēng
脟	liè_luán_pāo
脠	shān_chān
脡	tǐng
脢	méi
脣	chún
脤	shèn
脥	jiá_qiǎn
脦	tè
脧	juān
脨	cù_jí
脩	xiū
脪	xìn_chī
脫	tuō
脭	chéng
脮	něi_tuǐ
脰	dòu
脳	nǎo
脴	pǐ
脵	gǔ
脷	lì
脹	zhàng
脺	cuī_cuì_suì
脻	jiē
脼	liǎng_lǎng
脽	shuí
脿	biāo_biǎo_biào
腀	lún
腁	pián
腂	guò_huà_lěi
腃	juàn_kuì_quān_quán
腄	chuí_chuái_hóu
腅	dàn
腇	něi
腉	nái
腍	rèn_rěn
腎	shèn
腏	zhuì_chuò
腒	jū
腖	dòng
腗	pí
腘	guó
腛	wò
腜	méi
腝	ruǎn_nào_nèn_ní
腞	zhuàn_dùn_tú
腟	chì
腡	luó
腢	ǒu
腣	dì
腤	ān
腦	nǎo
腨	shuàn
腪	yùn
腫	zhǒng
腬	róu
腯	tú
腲	wěi
腳	jiǎo_jué
腵	jiā
腶	duàn
腷	bì
腸	cháng
膁	qiǎn_xiàn_yán
膃	wà
膄	shòu_sòu
膅	táng
膆	sù
膇	zhuì
膉	yì
膋	liáo
膌	jí
膍	pí
膎	xié
膐	lǚ
膒	ōu
膓	cháng
膔	lù_biāo
膕	guó
膖	pāng
膗	chuái
膙	jiǎng
膚	fū
膞	zhuān_chuán_chún_zhuǎn_chuǎn
膟	lǜ
膠	jiāo
膡	yìng
膢	lǘ
膤	xuě
膥	cūn_chūn
膧	tóng
膩	nì
膫	liáo_liǎo
膬	cuì
膭	kuì_duì_guī
膮	xiāo
膯	tēng_tún
膰	fán_pán
膱	zhí
膲	jiāo
膴	hū_wǔ
膵	cuì
膶	rùn
膷	xiāng
膸	suǐ_wěi
膹	fèn
膼	zhuā
膽	dǎn
膾	kuài
膿	nóng
臄	jué
臅	chù
臇	juǎn
臈	là_gé
臉	liǎn
臋	tún
臍	qí
臎	cuì
臏	bìn
臐	xūn
臑	nào
臒	wò_yuè
臓	zàng
臔	xiàn
臕	biāo
臖	xìng
臗	kuān
臘	là
臙	yān
臚	lú
臛	huò
臜	zā
臝	luǒ
臞	qú
臟	zàng
臠	luán
臡	ní_luán
臢	zā_zāng
臤	qiān_xián_qìn
臥	wò
臦	guàng_jiǒng
臨	lín
臩	guǎng_jiǒng
臫	jiǎo
臮	jì
臯	gāo
臰	chòu
臱	mián_biān
臲	niè
臵	gé
臶	jiàn
臷	dié_zhí
臸	zhī_jìn
臹	xiū
臺	tái
臽	xiàn
臿	chā
舃	xì
與	yǔ_yú_yù
興	xīng_xìng
舉	jǔ
舊	jiù
舋	xìn
舎	shè
舏	jiǔ
舑	tān
舓	shì
舕	tàn
舖	pù
舗	pù
舘	guǎn
舙	huà_qì
舚	tiàn
舝	xiá
舠	dāo
舤	fán
舥	pā
舦	tài
舧	fán
舩	chuán_fán
舮	lú
舲	líng
舺	xiá
舼	qióng_hóng
舽	páng_féng
舿	kuā
艀	fú
艁	zào
艂	féng
艃	lí
艅	yú
艆	láng
艈	yù
艊	bó
艌	niàn_qiàn
艍	jū
艎	huáng
艐	kè_jiè_zōng
艑	biàn
艒	mù_mò
艓	dié
艔	dào
艕	bàng
艖	chā
艗	yì
艙	cāng
艛	lóu
艜	dài
艝	xuě
艞	yào_tiào
艠	dēng
艡	dāng
艢	qiáng
艣	lǔ
艤	yǐ
艥	jí
艦	jiàn
艧	huò_wò
艩	qí
艪	lǔ
艫	lú
艬	chán
艭	shuāng
艱	jiān
艵	pīng
艶	yàn
艷	yàn
艸	cǎo
艻	lè
艼	dǐng_tīng
芀	tiáo
芁	qiú_jiāo
芃	péng
芅	yì
芆	chāi_chā
芇	mián
芉	gǎn_gān
芌	yù
芐	hù_xià
芓	zì_zǐ_zī
芔	huì_hū
芕	suī
芖	zhì
芚	tún_chūn
芛	wěi
芞	qì
芠	wén
芢	rén
芣	fú_fóu
芧	xù_zhù
芲	lún_huā
芵	jué
芶	gōu_gǒu
芺	ǎo
芻	chú
芼	máo_mào
芿	réng_rèng
苀	háng
苂	chán_yín
苃	yǒu
苅	yì
苆	qiē
苉	pǐ
苐	dì_tí
苖	dí
苙	lì_jī
苚	yòng
苝	bèi
苢	yǐ
苧	zhù_níng
苨	nǐ
苩	pā_bó
苪	bǐng
苬	xiú
苭	yǎo
苮	xiān
苰	hóng
苲	zuó_zhǎ_zhà
苳	dōng
苵	dié
苶	nié
苸	hū
苺	méi
苼	shēng_ruí
苽	gū_guā
苾	bì
苿	wèi
茀	fú
茊	zī
茋	zhǐ_dǐ
茍	jì
茐	cōng
茒	yuán
茓	xué
茖	gè_gé
茘	lì
茙	róng
茝	chǎi_zhǐ
茞	chén
茟	yù_wěi
茠	hāo_xiū
茡	zì
茢	liè
茣	wú
茤	jì_duō
茥	guī
茦	cì_cè
茩	hòu_gòu
茪	guāng
茮	jiāo_niǎo
茰	yú
茲	zī
茷	fá
茻	mǎng_mǔ
茽	zhòng
茾	qiān
茿	zhú
荁	huán
荂	fū
荄	gāi
荅	dá
荈	chuǎn
荊	jīng
荋	ér
荌	àn
荍	qiáo_shōu
荎	chí
荓	píng_pēng
荕	jīn
荖	lǎo_chā
荗	shù
荘	zhuāng
荙	dá
荝	cè_zé
荢	zì
荰	dù
荱	wěi_wèi
荲	lí
荳	dòu
荴	fū
荵	rěn
荶	yín
荹	bù_pú
荺	yǔn_yún
荾	suī
荿	chéng
莀	chén_nóng
莁	wú
莂	bié
莃	xī
莄	gěng
莇	zhù
莈	mò
莊	zhuāng
莋	zuó_jí
莌	tuō
莍	qiú
莏	suō
莐	chén
莑	péng_fēng
莔	méng
莕	xìng
莖	jìng_jīng
莗	chē
莙	jūn
莚	yán
莝	cuò
莟	hàn
莡	cuò
莢	jiá
莣	wáng
莤	sù_yóu
莥	niǔ_ròu
莦	shāo_xiāo
莧	xiàn
莬	wèn_wǎn_miǎn
莭	jié
莮	nán
莯	mù
莵	tù_tú
莻	neus_gòng
莾	mǎng
莿	cì
菂	dì
菃	qú
菄	dōng
菆	zōu_chù
菈	lā
菉	lù
菋	wèi
菍	niè_rěn
菎	kūn
菐	pú
菑	zī_zì_zāi
菒	gǎo
菓	guǒ
菕	lún
菗	chóu
菙	chuí
菚	zhàn
菛	mén
菞	lí
菢	bào
菣	qìn
菤	juǎn
菦	qín
菧	dǐ
菨	jiē_shà
菫	jǐn
菬	qiáo_zhǎo
菭	tái_zhī_chí
菮	gēng
華	huá_huà_huā
菳	qín_qīn_jīn
菴	ān
菵	wǎng
菶	běng
菷	zhǒu
菺	jiān
菻	lǐn_má
菼	tǎn
菾	tián_tiàn
菿	dào_dǎo
萀	hǔ
萂	hé
萅	chūn
萇	cháng
萈	huán
萉	fèi_féi_fú
萊	lái
萐	shà
萒	yǎn_juàn
萓	yí
萔	tiáo
萕	qí
萖	wǎn
萗	cè
萙	zhěn
萚	tuò
萛	jiū
萞	bì
萟	yì
萠	pān_méng
萡	bó
萢	pāo
萣	dìng
萩	qiū
萪	kē
萫	xiāng_xiàng
萬	wàn
萭	yǔ_jǔ
萮	yú_yǔ_yù
萯	fù_bèi
萰	liàn
萲	xuān
萳	nǎn_nán
萴	cè_zé
萵	wō
萶	chǔn
萷	shāo_shuò_xiāo
萹	biān_piān
萺	mào_mù
萻	ān
萾	yíng
萿	kuò_huó
葀	kuò
葁	jiāng
葂	miǎn
葃	zuò_zé
葄	zuò
葅	zū
葇	róu
葈	xǐ
葉	yè_shè
葊	ān
葋	qú
葌	jiān
葍	fú
葎	lǜ
葏	jīng
葐	pén_fén
葒	hóng
葓	hóng
葔	hóu
葕	xìng_yàn
葖	tū_tú
葘	zī
葝	qíng_jìng
葞	mǐ
葟	huáng
葠	shēn
葢	gài
葤	zhòu
葥	qián
葦	wěi
葧	bó
葨	wēi
葪	jì
葮	duàn
葯	yào
葰	jùn_suī_suǒ
葲	quán
葴	zhēn
葷	hūn_xūn
葹	shī
葻	lán
葼	zōng
葽	yāo
葾	yuān
葿	méi
蒀	yūn
蒁	shù
蒃	zhuàn
蒄	guān
蒅	rǎn
蒆	xuē
蒊	huā
蒍	wěi_huā_kuī
蒏	yòng
蒐	sōu
蒑	yīn_yìn
蒒	shī
蒓	chún
蒔	shì_shí
蒕	yūn
蒖	zhēn
蒘	rú_ná
蒚	lì
蒛	quē
蒝	yuán_huán
蒞	lì
蒟	jǔ
蒠	xī
蒢	chú
蒣	xú_shú
蒤	tú
蒥	liú
蒦	huò
蒧	diǎn
蒨	qiàn
蒩	zū_jù_jí
蒪	pò
蒫	cuó
蒬	yuān
蒭	chú
蒮	yù
蒰	pán
蒱	pú
蒳	nà
蒵	xí_xì
蒶	fén
蒷	yún
蒻	ruò
蒼	cāng
蒾	mí
蓀	sūn
蓂	míng
蓃	sōu_sǒu
蓅	liú
蓆	xí
蓇	gū_gǔ
蓈	láng
蓋	gài_gě_hé
蓌	cuò
蓎	táng
蓏	luǒ
蓒	xuān
蓔	yǎo_zhuó
蓕	guì
蓗	zǒng
蓘	gǔn
蓙	zuò
蓚	tiáo
蓛	cè
蓜	pèi
蓞	dàn
蓡	shēn
蓢	lǎng
蓤	líng
蓧	diào_tiáo_dí
蓨	tiáo_xiū
蓩	mǎo
蓪	tōng
蓫	zhú
蓭	ān
蓮	lián
蓯	cōng
蓱	píng
蓲	qiū_xū_fū
蓳	jǐn
蓴	chún
蓵	jié
蓶	wéi
蓷	tuī
蓸	cáo
蓹	yù
蓺	yì
蓻	zí_jú
蓽	bì
蓾	lǔ
蔀	bù
蔁	zhāng
蔂	léi_luó
蔃	qiáng_jiàng
蔄	màn
蔅	yán
蔆	líng
蔇	jì
蔈	biāo_biào_piǎo
蔉	gǔn
蔊	hàn_hǎn
蔋	dí
蔍	lù_cū
蔎	shè
蔏	shāng
蔐	dí
蔒	hūn_xūn
蔔	bo
蔕	dì
蔖	cuó_cǔ_zhā
蔘	shēn
蔙	xuàn
蔛	hú
蔜	áo
蔝	mǐ
蔞	lóu
蔠	zhōng
蔢	pó_bò
蔣	jiǎng
蔤	mì
蔥	cōng
蔦	niǎo
蔧	huì
蔨	juàn_jùn
蔩	yín
蔪	jiān_jiàn_shān
蔭	yīn_yìn
蔮	guó
蔯	chén
蔰	hù
蔱	shā
蔲	kòu
蔳	qiàn
蔴	má
蔵	zàng_cáng
蔶	zé
蔾	lí
蔿	wěi
蕀	jí
蕁	qián_xún_tán
蕂	shèng
蕄	méng
蕅	ǒu
蕆	chǎn
蕇	diǎn
蕋	ruǐ
蕌	lěi
蕍	yú
蕎	qiáo
蕏	zhū_chú
蕐	huá
蕑	jiān
蕒	mǎi
蕓	yún
蕔	bāo
蕕	yóu
蕗	lù
蕘	ráo
蕚	è
蕛	tí
蕜	fěi
蕝	jué
蕟	fà_fèi
蕠	rú
蕡	fén
蕢	kuì
蕣	shùn
蕥	yǎ
蕦	xū
蕧	fù
蕩	dàng
蕪	wú
蕫	dǒng
蕬	sī
蕭	xiāo
蕮	xì
蕯	sà_lóng
蕰	yùn_wēn
蕱	shāo
蕳	jiān
蕵	sūn
蕶	líng
蕷	yù
蕸	xiá
蕼	sì
蕽	nóng
蕿	xuān
薀	yùn
薁	yù
薂	xí_xiào
薃	hào
薆	ài
薈	huì
薉	huì_wèi
薊	jì
薋	cí_zī
薌	xiāng
薍	wàn_luàn
薎	miè
薐	léng
薑	jiāng
薒	càn
薓	shēn
薔	qiáng_sè
薕	lián
薖	kē
薗	yuán
薘	dá
薙	tì
薚	tāng
薝	zhān
薞	sūn
薟	xiān_liǎn_kàn_yán
薠	fán
薡	dǐng
薢	xiè_xiào
薣	gǔ
薥	shǔ_zhú
薦	jiàn
薧	hāo_kǎo
薩	sà
薫	xūn
薬	yào
薭	bài
薱	duì
薲	pín
薳	yuǎn_wěi
薴	níng
薵	chóu_zhòu_dào
薶	mái_wō
薸	piáo_piāo
薺	jì_qí
薻	zǎo
薼	chén
薽	zhēn
薾	ěr
薿	nǐ
藀	yíng
藂	cóng_còng
藃	xiāo_hào_hè
藄	qí
藅	fá
藆	jiǎn
藇	xù_yù_xū
藈	kuí
藊	biǎn
藋	diào_zhuó
藌	mí_mì
藍	lán
藎	jìn
藑	qióng
藒	qì_qiè
藔	liáo
藖	xián_qiān
藗	sù
藘	lǘ
藙	yì
藚	xù
藛	xiě
藝	yì
藞	lǎ
藟	lěi
藠	jiào
藡	dí
藢	zhǐ
藣	bēi
藥	yào
藦	mò_mó
藧	huàn
藨	biāo_pāo
藪	sǒu
藫	tán
藬	tuī
藭	qióng
藮	qiáo
藯	wèi
藰	liú_liǔ
藱	huì_huí
藲	ōu
藳	gǎo
藴	yùn
藵	bǎo
藶	lì
藷	shǔ
藸	zhū_chú_zhā
藹	ǎi
藺	lìn
藼	xuān
藽	qìn
藾	lài
蘀	tuò
蘁	wù
蘂	ruǐ
蘃	ruǐ
蘄	qí
蘆	lú
蘇	sū
蘈	tuí
蘉	máng_méng
蘊	yùn
蘋	pín_píng
蘌	yù_yǔ
蘍	xūn
蘎	jì
蘏	jiōng
蘐	xuān
蘒	qiū
蘓	sū
蘔	jiōng
蘕	péng
蘗	bò_niè
蘘	ráng
蘙	yì
蘚	xiǎn
蘛	yú
蘜	jú
蘝	liǎn
蘞	liǎn
蘟	yǐn
蘠	qiáng
蘡	yīng
蘢	lóng
蘣	tǒu
蘤	huā_wěi
蘥	yuè
蘦	lìng_líng
蘨	yáo
蘪	mí_méi
蘫	lán_hàn_làn
蘬	guī_huǐ_kuī
蘭	lán
蘮	jì
蘯	dàng
蘰	màn
蘱	lèi
蘲	léi
蘳	huī
蘴	fēng_sōng
蘵	zhī_zhí
蘶	wèi
蘷	kuí
蘹	huái
蘺	lí
蘻	jì
蘽	lěi
蘾	huài
蘿	luó
虀	jī
虁	kuí
虂	lù
虃	jiān
虄	sal_sà
虅	téng
虆	léi
虇	quǎn
虈	xiāo
虉	yì
虊	luán
虋	mén
虌	biē
虒	sī
虓	xiāo
處	chǔ_chù
虖	hū
虗	xū
虘	cuó
虙	fú
虛	xū
虜	lǔ
虝	hǔ
號	hào_háo
虠	jiāo_háo
虡	jù
虣	bào
虤	yán
虥	zhàn
虦	zhàn
虧	kuī
虨	bīn
虩	xì
虪	shù
虭	diāo_dāo
虯	qiú
虰	dīng_chēng
虲	xiā
虳	jué
虴	zhé
虵	shé
虶	yú_yū
虷	hán_gān
虸	zǐ
蚃	xiǎng_xiàng
蚄	fāng_bàng
蚅	è
蚆	bā
蚇	chǐ
蚈	qiān
蚉	wén
蚎	yuè
蚏	yuè
蚐	jūn
蚑	qí
蚒	tóng
蚔	qí_zhǐ
蚖	yuán_wán
蚗	jué_quē
蚘	huí
蚙	qín_qián
蚚	qí
蚛	zhòng
蚞	mù
蚟	wáng
蚠	fén
蚡	fén
蚢	háng
蚥	fù_fǔ
蚦	rán
蚫	bào_páo
蚭	ní
蚮	dài_dé_tè
蚲	píng
蚳	chí
蚷	jù
蚸	lì
蚹	fù
蚻	zhá
蚼	gǒu_qú_xù
蚽	pí
蚾	pí_bǒ
蚿	xián
蛁	diāo
蛂	bié
蛃	bīng_bǐng
蛅	zhān_rán
蛈	tiě
蛌	tún_gǔ
蛍	yíng
蛒	gé_luò
蛓	cì
蛕	huí_huǐ
蛖	máng_bàng
蛗	fù
蛚	liè
蛜	yī
蛝	xián
蛠	lì
蛡	yì_xǔ
蛢	píng
蛣	jié
蛥	shé
蛦	yí
蛧	wǎng
蛨	mò
蛪	qiè_ní
蛫	guǐ
蛬	qióng
蛯	lǎo
蛵	xíng
蛶	jiè
蛷	qiú
蛺	jiá
蛻	tuì
蛼	chē
蛽	bèi_bài
蛿	hàn
蜁	xuán
蜄	shèn_zhèn
蜅	fǔ
蜆	xiǎn
蜋	láng_liáng
蜌	bì
蜎	yuān
蜏	yǒu
蜐	jié
蜑	dàn
蜔	diàn
蜖	huí
蜙	zhōng_sōng
蜛	jū
蜝	qí
蜟	yù
蜠	jùn
蜤	sī_xī
蜦	lún_lǔn
蜧	lì
蜨	dié
蜪	táo
蜫	kūn
蜬	hán
蜭	hàn
蜯	bàng
蜰	féi_fèi
蜲	wēi_wěi
蜳	dūn_tūn
蜵	yuān_yūn
蜶	suò
蜸	qiǎn
蜹	ruì_wèi
蜺	ní
蜼	wèi_tóng_wěi
蜽	liǎng
蝀	dōng
蝁	è
蝂	bǎn
蝃	dì
蝄	wǎng
蝅	cán
蝆	yǎng
蝊	dìng
蝋	là
蝍	jí
蝏	tíng
蝐	mào
蝑	xū_xiè
蝒	mián
蝔	jiē
蝕	shí
蝖	xuān
蝘	yǎn
蝚	róu_náo
蝛	wēi
蝜	fù
蝝	yuán
蝞	mèi
蝟	wèi
蝡	rú_ruăn_ruǎn
蝢	xié
蝦	xiā_hā
蝧	yīng
蝨	shī
蝩	chóng_zhōng
蝪	tāng
蝫	zhū
蝬	zōng
蝭	dì_chí_tí
蝯	yuán
蝱	méng
蝲	là
蝳	dài_dú
蝵	qiū
蝷	lì_xí
蝸	wō_guā
蝹	yūn
蝺	qǔ_yǔ
蝿	yíng
螀	jiāng
螁	tuì_bān
螄	sī
螆	cì
螇	xī_qī
螉	wēng
螊	lián
螌	bān_huàn_pán
螎	róng
螏	jí
螐	wū
螑	xiù
螒	hàn
螔	yí_sī
螕	bī_pí_pī
螖	huá
螘	yǐ
螙	dù
螚	nài_něng
螛	hé_xiá
螜	hú
螝	guì_huǐ_guī
螞	mǎ_mā_mà
螠	yì
螡	wén
螢	yíng
螣	téng
螤	zhōng
螥	cāng
螦	sāo
螧	qí
螩	dāo
螪	shāng
螮	dì
螰	lù
螱	wèi
螲	dié_zhì
螴	chén
螶	qú_jù
螷	pí
螸	yú
螹	chán_jiàn
螻	lóu
螼	qǐn
螾	yǐn
螿	jiāng
蟁	wén
蟂	xiāo
蟃	wàn
蟄	zhé
蟅	zhè
蟇	má
蟈	guō
蟉	liú_liào
蟌	cōng
蟍	lí
蟎	mǎn
蟏	xiāo
蟐	chán
蟔	mò
蟕	zuī
蟖	sī
蟗	qiū
蟘	tè
蟙	zhí
蟚	péng
蟜	jiǎo
蟝	qú
蟞	biē_bié
蟟	liáo
蟡	guǐ
蟢	xǐ
蟣	jǐ
蟤	zhuān
蟦	fèi_bēn_féi
蟧	láo_liáo
蟨	jué
蟩	jué
蟫	yín_xún
蟬	chán
蟭	jiāo
蟯	náo
蟰	xiāo
蟱	wú_móu
蟲	chóng
蟳	xún
蟴	sī
蟵	chú
蟶	chēng
蟷	dāng
蟸	lí_lǐ
蟺	shàn
蟻	yǐ
蟼	jǐng
蟽	dá
蟿	qì
蠀	cī_jí
蠁	xiǎng_xiàng
蠂	shè
蠄	qín
蠅	yíng
蠆	chài
蠇	lì
蠈	zéi
蠉	xuān
蠋	zhú
蠌	zé
蠍	xiē
蠎	mǎng
蠏	xiè
蠐	qí
蠑	róng
蠒	jiǎn
蠔	háo
蠗	zhuó
蠘	jié
蠙	pín_bīn
蠚	hē
蠜	fán
蠝	lěi_léi
蠞	jié
蠟	là
蠠	mǐn_mián
蠣	lì
蠤	qiū
蠥	niè
蠦	lú
蠧	dù
蠨	xiāo
蠩	zhū
蠪	lóng
蠫	lí_lì
蠬	lóng
蠭	fēng_páng
蠮	yē
蠯	pí_bèng
蠰	náng_shàng
蠱	gǔ
蠳	yīng
蠴	shǔ
蠵	xī
蠶	cán
蠷	qú
蠸	quán
蠺	cán
蠻	mán
蠽	jié
蠾	zhú_shú
蠿	zhuó_zhuō
衁	huāng
衂	nǜ_niù
衃	pēi_fǒu
衆	zhòng
衇	mài
衈	ěr
衉	kè
衊	miè
衋	xì
衎	kàn
衏	yuàn
衐	qú
衑	líng
衒	xuàn
術	shù
衕	tòng
衖	xiàng_lòng
衘	xián_yù
衚	hú
衛	wèi
衜	dào
衝	chōng_chòng
衞	wèi
衟	dào
衠	zhūn
衦	gǎn
衧	yú
衪	yì_yí
衭	fū
衯	fēn_pén
衱	jié
衳	zhōng
衴	dǎn
衵	rì_nì
衶	zhòng
衸	jiè
衹	zhǐ_qí
衺	xié
衻	rán
衼	zhī
袀	jūn
袃	chài
袆	huī
袇	rán
袉	tuó_tuō_tuǒ
袊	lǐng_líng
